owner,id,price
0xb3abc96cb9a61576c03c955d75b703a890a14aa0,4997,10.0
0x3b7b25dd535d8d5ad7c9934ad5a24e7c91c74249,6627,6.0
0x3b7b25dd535d8d5ad7c9934ad5a24e7c91c74249,9701,7.77
0x3b7b25dd535d8d5ad7c9934ad5a24e7c91c74249,7935,2.6
0x3b7b25dd535d8d5ad7c9934ad5a24e7c91c74249,5405,3.6
0x3b7b25dd535d8d5ad7c9934ad5a24e7c91c74249,2032,2.4
0x380e5b655d459a0cfa6fa2dfbbe586bf40dcfd7f,6666,6666.0
0x380e5b655d459a0cfa6fa2dfbbe586bf40dcfd7f,6666,6666.0
0xc049085709fc6581152c1e1edeea53fae58fede1,33,5.0
0x88a66fd0c5d8cbac251f95381a032748341e7fc3,5843,1.98
0x88a66fd0c5d8cbac251f95381a032748341e7fc3,5846,2.67
0x88a66fd0c5d8cbac251f95381a032748341e7fc3,5826,2.3
0x88a66fd0c5d8cbac251f95381a032748341e7fc3,5824,2.87
0x88a66fd0c5d8cbac251f95381a032748341e7fc3,5784,2.87
0x3fde605a4d4434cba18a3b9c1c1f2e175b3856f1,5131,4.0
0x876bd482d36ab7b45c3f43c20b0ebbac17280ff2,50,10.0
0x876bd482d36ab7b45c3f43c20b0ebbac17280ff2,50,10.0
0x876bd482d36ab7b45c3f43c20b0ebbac17280ff2,50,10.0
0x876bd482d36ab7b45c3f43c20b0ebbac17280ff2,50,10.0
0x876bd482d36ab7b45c3f43c20b0ebbac17280ff2,50,10.0
0x876bd482d36ab7b45c3f43c20b0ebbac17280ff2,50,10.0
0xcfb098c1d44eb12f93f9aaece5d6054e2a2240ab,6395,3.2
0xcfb098c1d44eb12f93f9aaece5d6054e2a2240ab,6167,2.6
0xcfb098c1d44eb12f93f9aaece5d6054e2a2240ab,6395,3.3
0xcfb098c1d44eb12f93f9aaece5d6054e2a2240ab,6167,2.65
0xcfb098c1d44eb12f93f9aaece5d6054e2a2240ab,8050,3.5
0xcfb098c1d44eb12f93f9aaece5d6054e2a2240ab,6395,3.5
0xcfb098c1d44eb12f93f9aaece5d6054e2a2240ab,6167,2.74
0x002936cd9bcb36cd2b5f168edb16dc983afcc1c3,56,66.66
0x21938a693771d5dbe7fce8d1ed6fe6a6efaf6435,735,3.0
0x21938a693771d5dbe7fce8d1ed6fe6a6efaf6435,5979,7.0
0x21938a693771d5dbe7fce8d1ed6fe6a6efaf6435,92,5.0
0x3b3525f60eeea4a1ef554df5425912c2a532875d,6021,3.3
0x3b3525f60eeea4a1ef554df5425912c2a532875d,6021,3.3
0x08eaa882be4fbe2861159d9fb2369ee4a01c8e07,110,5.0
0x08eaa882be4fbe2861159d9fb2369ee4a01c8e07,110,6.0
0x08eaa882be4fbe2861159d9fb2369ee4a01c8e07,110,5.0
0x08eaa882be4fbe2861159d9fb2369ee4a01c8e07,110,6.0
0xa8c382519234afddd23022431967d773f7f487b0,5010,11.0
0xa8c382519234afddd23022431967d773f7f487b0,5010,11.0
0xa8c382519234afddd23022431967d773f7f487b0,5010,11.0
0x65546f3419e360b6c62c88f8a060cd1c112bb80b,7428,5.0
0x65546f3419e360b6c62c88f8a060cd1c112bb80b,7428,5.0
0x65546f3419e360b6c62c88f8a060cd1c112bb80b,7428,5.0
0x4469adbfca24cf353bb5de6e765707352c6b767d,187,4.69
0xb563f643a659d8326a7a464ac7921a89b2886a28,180,3.0
