owner,id,price
0x5d89cc281c3f45433d93a33e1c64958b61bbef7b,19985,4.5
0xb219796645e5c80a71657654c66691e2c1a1927f,1228,6.5
0xbbb76f409df39f490e55622e7be36cbc5c56d632,3250,14.9
0x7c219173f54e3ad9cf02f440639316feff40946f,19607,50.0
0x7c219173f54e3ad9cf02f440639316feff40946f,15848,12.0
0x7c219173f54e3ad9cf02f440639316feff40946f,15848,23.0
0xab7244011d76fe5e94a3ebab59715272f0150a7d,56,8.9
0xab7244011d76fe5e94a3ebab59715272f0150a7d,17737,41.0
0x8cfb67afe8bf0df0f6e39d6e4d8518e060aab183,58,3.7
0x8cfb67afe8bf0df0f6e39d6e4d8518e060aab183,58,3.9
0x0a8c2ee08760251705f5aaf7bb0e7b490029bc27,9996,19.996
0x0a8c2ee08760251705f5aaf7bb0e7b490029bc27,6512,9.0
0x0a8c2ee08760251705f5aaf7bb0e7b490029bc27,19423,5.55
0x0a8c2ee08760251705f5aaf7bb0e7b490029bc27,16669,6.9
0x0a8c2ee08760251705f5aaf7bb0e7b490029bc27,8132,11.77
0x0a8c2ee08760251705f5aaf7bb0e7b490029bc27,63,6.3
0x0a8c2ee08760251705f5aaf7bb0e7b490029bc27,2944,6.0
0x0a8c2ee08760251705f5aaf7bb0e7b490029bc27,14149,7.0
0x0a8c2ee08760251705f5aaf7bb0e7b490029bc27,19423,6.0
0x0a8c2ee08760251705f5aaf7bb0e7b490029bc27,19423,8.0
0x0a8c2ee08760251705f5aaf7bb0e7b490029bc27,14149,9.0
0x0a8c2ee08760251705f5aaf7bb0e7b490029bc27,2944,8.0
0x050e55ae34c8baa658305f084ca8c5d3e1db7092,64,13.0
0x4bbb41f61fffc1bbe65a2aa192c65281e16ea758,4776,5.5
0x4bbb41f61fffc1bbe65a2aa192c65281e16ea758,5659,18.99
0x4bbb41f61fffc1bbe65a2aa192c65281e16ea758,7624,17.99
0x4bbb41f61fffc1bbe65a2aa192c65281e16ea758,3190,25.0
0x1a1f337faa595a3603b4a3e67776150e7883954d,89,11.0
0xf5043b09b635e57c25acaab0c196f7bce4be3dc3,4960,4.0
0xf5043b09b635e57c25acaab0c196f7bce4be3dc3,14061,5.0
0xf5043b09b635e57c25acaab0c196f7bce4be3dc3,18411,25.0
0xf5043b09b635e57c25acaab0c196f7bce4be3dc3,94,25.0
0xf5043b09b635e57c25acaab0c196f7bce4be3dc3,14061,25.0
0xf7dd8248d8e710d60711d6711fec70b5e9ad2385,9576,50.0
0xf7dd8248d8e710d60711d6711fec70b5e9ad2385,5872,50.0
0xf7dd8248d8e710d60711d6711fec70b5e9ad2385,110,50.0
0x8ad272ac86c6c88683d9a60eb8ed57e6c304bb0c,17939,5.82
0x8ad272ac86c6c88683d9a60eb8ed57e6c304bb0c,16765,14.31
0x4bbb41f61fffc1bbe65a2aa192c65281e16ea758,4776,5.5
0x4bbb41f61fffc1bbe65a2aa192c65281e16ea758,5659,18.99
0x4bbb41f61fffc1bbe65a2aa192c65281e16ea758,7624,17.99
0x4bbb41f61fffc1bbe65a2aa192c65281e16ea758,3190,25.0
0x3717200a1cc1fff7c329e8ceef76716046bb8b3e,119,6.0
0xbbb76f409df39f490e55622e7be36cbc5c56d632,3250,14.9
0xe301612b0751f6d862a27be205fb8e3c40c8c6db,16785,12.888
0xe301612b0751f6d862a27be205fb8e3c40c8c6db,16785,16.69
0xe301612b0751f6d862a27be205fb8e3c40c8c6db,15168,169.0
0xe301612b0751f6d862a27be205fb8e3c40c8c6db,14675,15.69
0xe301612b0751f6d862a27be205fb8e3c40c8c6db,18757,99.0
0x33bf10b2b4a57bc20d955c00b2f735897124785c,811,6.0
0x56178626332fc530561535eeaa914b863aa455f2,6875,4.05
0x7b28c24690d33308d793aff57991bf1009a70789,187,4.55
0x149f5e3904537a4e4a0840ead952dd13cc6ff451,191,200.0
0x7c4b70cd809e3cfd45b6cc1ed938e7adc45bde0b,13623,3.99
0xefcdfb566c10c7a2366ed745be5d4cf11123aa3f,2336,9.94
0xefcdfb566c10c7a2366ed745be5d4cf11123aa3f,5718,14.99
0xefcdfb566c10c7a2366ed745be5d4cf11123aa3f,8328,9.99
0xefcdfb566c10c7a2366ed745be5d4cf11123aa3f,2343,11.64
0xefcdfb566c10c7a2366ed745be5d4cf11123aa3f,204,28.88
0x6eee796f80dc191dcfb69c1db8b5c8d37e06ac1d,218,13.78
0x6eee796f80dc191dcfb69c1db8b5c8d37e06ac1d,8342,20.0
0x7c5f7f5aac0496f22e08a7c7bea6cbf50e35aeba,15139,39.0
0x7c5f7f5aac0496f22e08a7c7bea6cbf50e35aeba,7600,9.9
0x7c5f7f5aac0496f22e08a7c7bea6cbf50e35aeba,7600,19.0
0xccf7872841ba2309ffa42eb0d4b55dcdcf32908a,228,12.5
0x485f1c06a29b78093a9d350ae92aa70b70d4cf11,229,4.45
0xa6dd652a5f685a98d1def975463ee721635b35d5,232,11.0
0x5d89cc281c3f45433d93a33e1c64958b61bbef7b,19985,4.5
0xe301612b0751f6d862a27be205fb8e3c40c8c6db,16785,12.888
0xe301612b0751f6d862a27be205fb8e3c40c8c6db,16785,16.69
0xe301612b0751f6d862a27be205fb8e3c40c8c6db,15168,169.0
0xe301612b0751f6d862a27be205fb8e3c40c8c6db,14675,15.69
0xe301612b0751f6d862a27be205fb8e3c40c8c6db,18757,99.0
0x46c36a9976155dbcae09833598377c0c8f83abb3,244,6.3
0xa9d748a28a713ecc751de04fee994f3bc1f19eb7,14799,20.0
0xa9d748a28a713ecc751de04fee994f3bc1f19eb7,246,20.0
0xa9d748a28a713ecc751de04fee994f3bc1f19eb7,18456,20.0
0xa9d748a28a713ecc751de04fee994f3bc1f19eb7,17109,30.0
0xa9d748a28a713ecc751de04fee994f3bc1f19eb7,5881,30.0
0xa9d748a28a713ecc751de04fee994f3bc1f19eb7,7700,20.0
0xa9d748a28a713ecc751de04fee994f3bc1f19eb7,320,20.0
0xa9d748a28a713ecc751de04fee994f3bc1f19eb7,7314,20.0
0xa9d748a28a713ecc751de04fee994f3bc1f19eb7,17552,20.0
0xa9d748a28a713ecc751de04fee994f3bc1f19eb7,18366,20.0
0x8418a464f0f51c958d1b57a5fb88d1a9896e8232,253,4.5
0x7e8fcd1046ae351af66c12b75b051fe550afe71e,13115,4.2069
0xab6ca2017548a170699890214bfd66583a0c1754,13829,4.5
0xab6ca2017548a170699890214bfd66583a0c1754,1071,4.5
0x56178626332fc530561535eeaa914b863aa455f2,6875,4.05
0x8ad272ac86c6c88683d9a60eb8ed57e6c304bb0c,17939,5.82
0x8ad272ac86c6c88683d9a60eb8ed57e6c304bb0c,16765,14.31
0x18dd509486858ac622ce217d9ed2ad89e4005f88,2090,6.5
0x18dd509486858ac622ce217d9ed2ad89e4005f88,16369,7.0
0x18dd509486858ac622ce217d9ed2ad89e4005f88,12097,7.0
0x18dd509486858ac622ce217d9ed2ad89e4005f88,16369,10.0
0x18dd509486858ac622ce217d9ed2ad89e4005f88,12465,10.0
0xa9d748a28a713ecc751de04fee994f3bc1f19eb7,14799,20.0
0xa9d748a28a713ecc751de04fee994f3bc1f19eb7,246,20.0
0xa9d748a28a713ecc751de04fee994f3bc1f19eb7,18456,20.0
0xa9d748a28a713ecc751de04fee994f3bc1f19eb7,17109,30.0
0xa9d748a28a713ecc751de04fee994f3bc1f19eb7,5881,30.0
0xa9d748a28a713ecc751de04fee994f3bc1f19eb7,7700,20.0
0xa9d748a28a713ecc751de04fee994f3bc1f19eb7,320,20.0
0xa9d748a28a713ecc751de04fee994f3bc1f19eb7,7314,20.0
0xa9d748a28a713ecc751de04fee994f3bc1f19eb7,17552,20.0
0xa9d748a28a713ecc751de04fee994f3bc1f19eb7,18366,20.0
0xc936c28629fbfd9b67f4cd588f77fa853b6669b0,322,4.25
0xc936c28629fbfd9b67f4cd588f77fa853b6669b0,322,4.49
0xc936c28629fbfd9b67f4cd588f77fa853b6669b0,322,4.69
0xc936c28629fbfd9b67f4cd588f77fa853b6669b0,322,4.89
0xc936c28629fbfd9b67f4cd588f77fa853b6669b0,322,7.89
0x56178626332fc530561535eeaa914b863aa455f2,6875,4.05
0x6a51c6d4eaa88a5f05a920cf92a1c976250711b4,336,6.9
0x7509cc94d13ff5365cd1159d0cd0599200b16041,4633,9.99
0xd0fd6d1c05b15f5b141253f13855c86cc3e655b8,3447,11.69
0xd0fd6d1c05b15f5b141253f13855c86cc3e655b8,10372,9.49
0xd0fd6d1c05b15f5b141253f13855c86cc3e655b8,14507,14.88
0xd0fd6d1c05b15f5b141253f13855c86cc3e655b8,8583,19.99
0xd0fd6d1c05b15f5b141253f13855c86cc3e655b8,14507,39.99
0xd0fd6d1c05b15f5b141253f13855c86cc3e655b8,8583,29.99
0xf1e1c701b49b1dc2405a9e8ef40f9f88802b80fa,360,12.0
0xe74ca58ef724b94fac7f2e09e2e48536a5c1ad03,371,5.269
0xe74ca58ef724b94fac7f2e09e2e48536a5c1ad03,371,5.69
0x54b7ffdd89e5332ba98413acf19421af97b80adb,387,5.5
0x409239e29dc9595d8de2f8d4b916e2d076c82a73,389,9.9
0x409239e29dc9595d8de2f8d4b916e2d076c82a73,389,11.5
0xeeeaa0b5efdea861832e2efafc38dc9e8b47c888,7318,7.9666
0xeeeaa0b5efdea861832e2efafc38dc9e8b47c888,5223,4.969
0xeeeaa0b5efdea861832e2efafc38dc9e8b47c888,5858,8.888
0xeeeaa0b5efdea861832e2efafc38dc9e8b47c888,7318,9.66
0xeeeaa0b5efdea861832e2efafc38dc9e8b47c888,8124,28.8
0xeeeaa0b5efdea861832e2efafc38dc9e8b47c888,5223,6.96
0xeeeaa0b5efdea861832e2efafc38dc9e8b47c888,5270,8.877
0xeeeaa0b5efdea861832e2efafc38dc9e8b47c888,5223,9.96
0xeeeaa0b5efdea861832e2efafc38dc9e8b47c888,6040,7.45
0xeeeaa0b5efdea861832e2efafc38dc9e8b47c888,6040,7.7711
0xeeeaa0b5efdea861832e2efafc38dc9e8b47c888,6040,7.88
0xeeeaa0b5efdea861832e2efafc38dc9e8b47c888,6040,8.666
0xda314940e3bea4a8a15d0e32943415152f7595ba,5519,9.0
0xda314940e3bea4a8a15d0e32943415152f7595ba,10865,7.99
0xda314940e3bea4a8a15d0e32943415152f7595ba,417,9.0
0xda314940e3bea4a8a15d0e32943415152f7595ba,10865,9.0
0xda314940e3bea4a8a15d0e32943415152f7595ba,417,10.0
0xda314940e3bea4a8a15d0e32943415152f7595ba,5519,11.0
0xda314940e3bea4a8a15d0e32943415152f7595ba,10865,10.0
0xda314940e3bea4a8a15d0e32943415152f7595ba,9874,9.9
0xda314940e3bea4a8a15d0e32943415152f7595ba,417,11.0
0x8ad272ac86c6c88683d9a60eb8ed57e6c304bb0c,17939,5.82
0x8ad272ac86c6c88683d9a60eb8ed57e6c304bb0c,16765,14.31
0x08d1e20be4dec06163275acd772be34c8f7075f3,5979,119.99
0x08d1e20be4dec06163275acd772be34c8f7075f3,12695,59.99
0x08d1e20be4dec06163275acd772be34c8f7075f3,13246,29.99
0x08d1e20be4dec06163275acd772be34c8f7075f3,13656,29.99
0x08d1e20be4dec06163275acd772be34c8f7075f3,12131,19.99
0x08d1e20be4dec06163275acd772be34c8f7075f3,15344,19.99
0x08d1e20be4dec06163275acd772be34c8f7075f3,15258,19.99
0x08d1e20be4dec06163275acd772be34c8f7075f3,19395,19.99
0x08d1e20be4dec06163275acd772be34c8f7075f3,433,11.99
0xed97d68eaab2fb3f72363906d54d267dd5f85c21,440,5.0
0x0b6c56aacc05b6cd093e3c123c408d95774978a9,4033,40.0
0x5d89cc281c3f45433d93a33e1c64958b61bbef7b,19985,4.5
0x36209cad56c31332d575bed3e989c988c2ad8eee,503,3.6
0x287208706629396aa380925d852d9a6a87df05c3,509,4.5
0x56178626332fc530561535eeaa914b863aa455f2,6875,4.05
0x1a491fc7dacae7e270bf9a116c026987d0e6be0a,3045,5.5
0x1a491fc7dacae7e270bf9a116c026987d0e6be0a,14852,18.0
0x1a491fc7dacae7e270bf9a116c026987d0e6be0a,12325,5.99
0x1a491fc7dacae7e270bf9a116c026987d0e6be0a,4208,4.8
0x1a491fc7dacae7e270bf9a116c026987d0e6be0a,5952,6.9
0x1a491fc7dacae7e270bf9a116c026987d0e6be0a,9429,8.0
0x1a491fc7dacae7e270bf9a116c026987d0e6be0a,3300,8.0
0x1a491fc7dacae7e270bf9a116c026987d0e6be0a,13493,4.98
0x1a491fc7dacae7e270bf9a116c026987d0e6be0a,10705,5.99
0xa637522a82f89ec36fb358382c8b01610a4b5432,9276,7.98
0xa637522a82f89ec36fb358382c8b01610a4b5432,18000,6.98
0xa637522a82f89ec36fb358382c8b01610a4b5432,18000,7.25
0xa637522a82f89ec36fb358382c8b01610a4b5432,18000,7.99
0xa637522a82f89ec36fb358382c8b01610a4b5432,9276,9.98
0xa637522a82f89ec36fb358382c8b01610a4b5432,3241,9.99
0x565b35340b6e6485607c21d38aaf6d73b2d49fb7,542,22.0
0x565b35340b6e6485607c21d38aaf6d73b2d49fb7,542,26.0
0x57931dfb66d7d6f9d326b8ed8aa0d5b69c047c65,1326,7.0
0x57931dfb66d7d6f9d326b8ed8aa0d5b69c047c65,544,8.0
0x57931dfb66d7d6f9d326b8ed8aa0d5b69c047c65,4169,25.0
0x56178626332fc530561535eeaa914b863aa455f2,6875,4.05
0x40e84785b0bb9833622acc497467e1059188ae5c,556,7.0
0x40e84785b0bb9833622acc497467e1059188ae5c,8990,8.0
0xa0efdc04e718635da15985ca63c3091795f03979,13574,5.95
0xa0efdc04e718635da15985ca63c3091795f03979,16769,9.69
0x0a24f6e6979ff44cd345ab97f3d46791a8cfffcc,19080,10.9
0x0a24f6e6979ff44cd345ab97f3d46791a8cfffcc,19080,12.9
0x7c219173f54e3ad9cf02f440639316feff40946f,19607,50.0
0x7c219173f54e3ad9cf02f440639316feff40946f,15848,12.0
0x7c219173f54e3ad9cf02f440639316feff40946f,15848,23.0
0x024bcbcaad82e67f721799e259ca60bc7d363419,605,9.0
0x4a68d6e1dd658894a7f866334062f8504b43d832,6319,4.37
0xe301612b0751f6d862a27be205fb8e3c40c8c6db,16785,12.888
0xe301612b0751f6d862a27be205fb8e3c40c8c6db,16785,16.69
0xe301612b0751f6d862a27be205fb8e3c40c8c6db,15168,169.0
0xe301612b0751f6d862a27be205fb8e3c40c8c6db,14675,15.69
0xe301612b0751f6d862a27be205fb8e3c40c8c6db,18757,99.0
0x56178626332fc530561535eeaa914b863aa455f2,6875,4.05
0xb93f47bad5a38bf570c9b451f019fe72c918e849,621,69.66
0xda75f63b9cb1cf7668bb0ee34fa718bc1cb5bbc1,16672,28.0
0xda75f63b9cb1cf7668bb0ee34fa718bc1cb5bbc1,16672,36.0
0xca11d10ceb098f597a0cab28117fc3465991a63c,4191,14.99
0x56178626332fc530561535eeaa914b863aa455f2,6875,4.05
0x6e02e27f03ae982a3de019bcdb01aef3ca8a91e0,641,4.2
0x6e02e27f03ae982a3de019bcdb01aef3ca8a91e0,641,4.4
0x6e02e27f03ae982a3de019bcdb01aef3ca8a91e0,641,4.5
0x821020d081652df0a704822897c1fa064963304f,7894,9.99
0x821020d081652df0a704822897c1fa064963304f,648,9.99
0x56178626332fc530561535eeaa914b863aa455f2,6875,4.05
0xefcdfb566c10c7a2366ed745be5d4cf11123aa3f,2336,9.94
0xefcdfb566c10c7a2366ed745be5d4cf11123aa3f,5718,14.99
0xefcdfb566c10c7a2366ed745be5d4cf11123aa3f,8328,9.99
0xefcdfb566c10c7a2366ed745be5d4cf11123aa3f,2343,11.64
0xefcdfb566c10c7a2366ed745be5d4cf11123aa3f,204,28.88
0x12a24e0cea864ac7662fb2a7bc5a7a26765bfcc9,661,15.0
0x12a24e0cea864ac7662fb2a7bc5a7a26765bfcc9,661,25.0
0x98ca30f9caa3c7e28fb6840f92f07e0e5892efff,666,100.0
0xe4490f6deed78a90574fca28a1554da037b7123e,668,4.2
0x762ec7ca4658e76002447b0a29e1f44f575dbebc,16892,8.0
0xbbb76f409df39f490e55622e7be36cbc5c56d632,3250,14.9
0x6f4a2d3a4f47f9c647d86c929755593911ee91ec,12054,9.99
0xb30a4400e06d47d842df6073598dc6ac066f2d56,7735,5.0
0xf12fcf0f8bce79f619a8cc38adec5ca20136a6f2,712,10000.0
0x8ad272ac86c6c88683d9a60eb8ed57e6c304bb0c,17939,5.82
0x8ad272ac86c6c88683d9a60eb8ed57e6c304bb0c,16765,14.31
0xc24f574d6853f6f6a31c19d468a8c1b3f31c0e54,19446,10.0
0xc24f574d6853f6f6a31c19d468a8c1b3f31c0e54,8344,9.0
0x8ad272ac86c6c88683d9a60eb8ed57e6c304bb0c,17939,5.82
0x8ad272ac86c6c88683d9a60eb8ed57e6c304bb0c,16765,14.31
0xee8eeec3e7a5ad82827480a9e00d01b1ec0a9f3b,10852,5.25
0xee8eeec3e7a5ad82827480a9e00d01b1ec0a9f3b,2659,9.9
0xee8eeec3e7a5ad82827480a9e00d01b1ec0a9f3b,4463,6.5
0x56178626332fc530561535eeaa914b863aa455f2,6875,4.05
0x56178626332fc530561535eeaa914b863aa455f2,6875,4.05
0xf480935955d38a332cf40c65add722d46b922462,19858,15.0
0xf480935955d38a332cf40c65add722d46b922462,754,15.0
0xf480935955d38a332cf40c65add722d46b922462,17668,15.0
0x9dfc5a0cb5c30186ef4abaa48179b2e06e24966f,16005,180.0
0x27ef8d1e586de28a82fafc30183c00982d8c73f3,762,7.1
0x27ef8d1e586de28a82fafc30183c00982d8c73f3,762,7.2
